Feature	Gain	Cover	Frequency
ctrx_quarter	0.0975701991245696	0.022726043859083	0.0287754890798054
cpayroll_trx	0.0769900417285338	0.0162548260065659	0.00507193872269951
mpasivos_margen	0.0687193454725074	0.0198825968016092	0.0281544353586585
ctarjeta_visa_trx	0.0422122197146496	0.0214488722096491	0.020701790704896
mcaja_ahorro	0.0410188922545991	0.0175329325587558	0.0268088189628403
Visa_msaldototal	0.0391574640003277	0.00923251778964542	0.0139737087258048
Visa_msaldopesos	0.0285896166485418	0.0183841814095651	0.0214263533795673
mrentabilidad_annual	0.0285275652310545	0.0188805899085214	0.0255667115205465
mcuentas_saldo	0.0281057741777157	0.0300793872177897	0.028464962219232
mactivos_margen	0.0262943858045614	0.0260939017422077	0.025670220474071
Master_fechaalta	0.0238165426363214	0.0293527788067372	0.0342614636166028
cliente_edad	0.0227980058115269	0.0275907208375249	0.0321912845461132
mpayroll	0.0192842128705971	0.0258091045037434	0.0100403684918745
mprestamos_personales	0.0176038403063491	0.0208049479907381	0.00703860883966463
Visa_fechaalta	0.0174584268095484	0.0149209087435801	0.0289825069868544
Master_Fvencimiento	0.0144862375414273	0.0207689741261833	0.0254632025670221
mcuenta_corriente	0.0134738564867673	0.0111825309958928	0.0161473967498189
mrentabilidad	0.0134573641565354	0.0123908231874959	0.0163544146568678
Visa_mpagospesos	0.0134070462565593	0.0118514688364115	0.0220474071007142
Master_mfinanciacion_limite	0.0132970294520571	0.0111643650396834	0.0196667011696512
Visa_Fvencimiento	0.0132820748710644	0.0132821783719567	0.0212193354725184
chomebanking_trx	0.0128407744756133	0.0127740736427774	0.0171824862850637
cliente_antiguedad	0.0126457025077635	0.0122928423949438	0.0189421384949798
Visa_mfinanciacion_limite	0.0124936960233181	0.0161420757396251	0.0192526653555533
mcomisiones_otras	0.0121392905654104	0.0124372848707328	0.0180105579132595
mcomisiones	0.0107829692019799	0.0132662899979931	0.0177000310526861
mcaja_ahorro_dolares	0.0106101177614067	0.0212458938809884	0.0211158265189939
Visa_mpagominimo	0.0103264911140001	0.012046102660687	0.017907048959735
Master_mlimitecompra	0.0100428916034061	0.0111209020073073	0.0163544146568678
numero_de_cliente	0.00937784419149634	0.00772217741457646	0.0145947624469517
mtransferencias_recibidas	0.00924678388546571	0.00716392609289374	0.0157333609357209
Visa_mconsumospesos	0.00915681340051576	0.0106673896316092	0.0177000310526861
mtarjeta_visa_consumo	0.00896138487612497	0.0129357919280029	0.0184245937273574
mtransferencias_emitidas	0.00865802062614385	0.013978312931476	0.0149052893075251
Visa_mconsumototal	0.00859762915996811	0.00525158747855498	0.0106614222130214
cprestamos_personales	0.00849690698359986	0.00528174306532027	0.00289825069868544
