fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 212349	-0.494639758441794	2196	477	11	5	10689000	89
20220520 212412	-0.28720337493455	4002	1999	20	5	8622000	90
20220520 212440	-0.294165329288323	1754	494	12	5	10773000	91
20220520 212507	-0.297534371471149	1784	867	12	5	10079000	92
20220520 212539	-0.264481482446442	268	1	12	5	9533000	93
20220520 212608	-0.29734431758407	1766	476	16	5	10851000	94
20220520 212636	-0.280456008934099	1787	513	20	5	10621000	95
20220520 212705	-0.277674625153409	1769	471	15	5	10853000	96
20220520 212732	-0.282759219606087	1797	487	17	5	10822000	97
20220520 212812	-0.999692449503828	4895	1	20	5	8123000	98
20220520 212828	-0.999862951656488	7999	398	5	5	8003000	99
20220520 212923	-0.295723748900399	2324	496	18	5	10581000	100
20220520 212952	-0.695274338439547	3560	1779	20	5	8989000	101
20220520 213039	-0.925055504189116	7999	1351	20	5	8003000	102
20220520 213133	-0.493702686372017	7998	2000	5	5	8003000	103
20220520 213202	-0.0640001392632528	7999	1999	3	5	7675000	104
20220520 213232	-0.289535107865521	1783	478	15	5	10819000	105
20220520 213259	-0.273087690319298	1748	473	16	5	10723000	106
20220520 213320	-0.768424500281241	898	448	6	5	9824000	107
20220520 213354	-0.305548529589088	1636	367	14	5	9985000	108
20220520 213426	-0.63261455744301	2265	450	17	5	10694000	109
20220520 213459	-0.282569865060359	1718	600	16	5	10142000	110
20220520 213527	-0.273951220021385	1915	456	8	5	10608000	111
20220520 213600	-0.322673568326501	1940	470	17	5	10608000	112
20220520 213645	-0.300168625591653	3690	1	18	5	8666000	113
20220520 213711	-0.999397747106588	2252	1126	20	5	10108000	114
20220520 213729	-0.298329374388568	3280	1637	6	5	9279000	115
20220520 213756	-0.91384959854982	2037	394	12	5	10460000	116
