experimento	fecha	lambda_l1	lambda_l2	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	min_gain_to_split	bagging_fraction	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT8310b1	20220607 170213	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0894553011391933	0.377500070226961	347	11	15.8458762961285	0.764060329001707	59	0.0290134568066862	-1	170313000	1
HT8310b1	20220607 170401	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0678781204577535	0.280696534532278	231	9	10.9786694857758	0.611471021074491	90	0.0304080258888032	-1	171390000	2
HT8310b1	20220607 170536	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.14921713518134	0.439754720779213	321	17	12.2258428480321	0.454693270823918	45	0.0273273368043754	-1	171394000	3
HT8310b1	20220607 170702	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.272151661762424	0.518100504234705	142	8	8.534603867447	0.362618642494393	31	0.0224053106780631	-1	170940000	4
HT8310b1	20220607 170737	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.170979113896222	0.714756297667433	289	13	17.2274236208371	0.64848007982752	39	0.0295852803088766	-1	169671000	5
HT8310b1	20220607 170841	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.19821133371753	0.169861971244488	210	4	2.66742671762283	0.201600370253436	54	0.0158335944712555	-1	170310000	6
HT8310b1	20220607 170921	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.140884962378768	0.664031874075105	419	0	5.5199861600219	0.596307364463185	51	0.0210663803262252	-1	171356000	7
HT8310b1	20220607 171009	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0928287770343013	0.618514573504217	32	18	15.2368193719303	0.538963835888232	63	0.03036976361363	-1	170608000	8
HT8310b1	20220607 171135	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.188558068871886	0.463014883876895	388	6	13.6085706421485	0.910036025398101	36	0.0288293865452385	-1	169750000	9
HT8310b1	20220607 171305	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.179455983841714	0.3280828652593	122	15	4.65960283802512	0.670411996279533	50	0.0248946662463179	-1	172117000	10
HT8310b1	20220607 171342	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.209107376356842	0.630046413620585	172	1	6.50644540030044	0.858780483389273	38	0.020705267818132	-1	169893000	11
HT8310b1	20220607 171501	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.128162187609123	0.264734591347709	272	9	12.866078861407	0.504910269247678	58	0.0285362896719934	-1	171135000	12
HT8310b1	20220607 171607	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.24161878455275	0.196148575510597	311	20	3.56390004143274	0.257208818111879	54	0.0178469554876118	-1	170554000	13
HT8310b1	20220607 171639	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.259389698803813	0.694798352739114	486	11	19.2029121145606	0.726854084253622	24	0.0280801222527084	-1	169107000	14
HT8310b1	20220607 171755	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.031566312063563	0.760642248813141	243	5	9.93468782166019	0.314813295883747	159	0.0298434118177289	-1	171918000	15
HT8310b1	20220607 171906	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.111347548939132	0.145268659920354	458	17	6.99290093112116	0.867986108347153	94	0.0290981637530728	-1	171694000	16
HT8310b1	20220607 171956	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.221719292276539	0.777517652442718	46	16	1.08434805607734	0.934309229728145	98	0.0123340138810264	-1	170468000	17
HT8310b1	20220607 172111	0	0	1	1	15	31	128339	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.283440628226381	0.358972909240401	62	14	18.4692323225318	0.403269141392472	33	0.0253582168232857	-1	169507000	18
