fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220526 173212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.22136617694676	0.998495406010311	4795	1024	0.0202352156073379	12467000	31
20220526 173225	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.190957845339783	0.998877579789999	4393	1013	0.0135991889934958	12673000	32
20220526 173244	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	92	TRUE	0.0989261171070518	0.519325984944403	6962	184	0.0229303668394399	12665000	33
20220526 173302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.101402281672448	0.534371746900189	7818	508	0.018365892576054	13098000	34
20220526 173315	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	35	TRUE	0.152554415334678	0.529412832460295	7274	325	0.020352779199194	12656000	35
20220526 173337	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	57	TRUE	0.0869255962199025	0.567467736107145	5646	273	0.0167887272021199	13366000	36
20220526 173353	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	61	TRUE	0.0866548163851868	0.575727536913486	5804	402	0.0192608191780199	13116000	37
20220526 173411	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	0.114150809882924	0.483045507912151	4615	45	0.0169439990407731	13621000	38
20220526 173423	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.171171756202828	0.555129910691943	4030	806	0.0166233717919121	12939000	39
20220526 173440	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.107199456762875	0.454150997119184	5428	17	0.0157400273658492	13571000	40
20220526 173501	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	111	TRUE	0.0976563888030092	0.41760053572607	4969	16	0.0168334789915529	13709000	41
20220526 173519	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	115	TRUE	0.0881151723650082	0.224583711831244	7970	18	0.0164520578959785	13180000	42
20220526 173536	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	64	TRUE	0.0925851669984972	0.471439803470315	4176	16	0.0161602431182348	13715000	43
20220526 173552	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	0.0957079205146634	0.335983226049928	4427	16	0.0162783685373583	13608000	44
