fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220530 145008	0	0	0	1	hist	lossguide	256	0	1	0.289751505431824	0.990210732349444	5	2	0.0165040900065967	247	12819000	41
20220530 145317	0	0	0	1	hist	lossguide	256	0	1	0.0109013572429686	0.575789283126418	9	4	0.0167606223106919	779	13426000	42
20220530 145703	0	0	0	1	hist	lossguide	256	0	1	0.010348626440236	0.200229140489105	10	680	0.0171380099342799	369	13259000	43
20220530 145730	0	0	0	1	hist	lossguide	256	0	1	0.258662317356208	0.20041706424378	10	2	0.0191302654915617	126	13238000	44
20220530 145759	0	0	0	1	hist	lossguide	256	0	1	0.287728622844022	0.201436397818355	6	3	0.0201173793690414	61	12475000	45
20220530 145836	0	0	0	1	hist	lossguide	256	0	1	0.110124516906091	0.546335791343926	10	2	0.0167690771801856	196	13093000	46
20220530 150342	0	0	0	1	hist	lossguide	256	0	1	0.010418125831474	0.20364998212882	8	972	0.0150284479425338	632	13025000	47
20220530 150640	0	0	0	1	hist	lossguide	256	0	1	0.0139559513409335	0.201055709976227	10	3	0.0236851507830846	962	12867000	48
20220530 150709	0	0	0	1	hist	lossguide	256	0	1	0.299988085733611	0.200257076779936	10	1018	0.0194673470574077	14	10995000	49
20220530 150751	0	0	0	1	hist	lossguide	256	0	1	0.23046663951779	0.851223640318011	7	2	0.0168234411771563	202	12805000	50
20220530 151136	0	0	0	1	hist	lossguide	256	0	1	0.0110981080296649	0.496982547219934	10	496	0.0163783403324915	281	13239000	51
20220530 151624	0	0	0	1	hist	lossguide	256	0	1	0.0103880570111267	0.20013218441918	10	295	0.0191864745618744	518	13032000	52
20220530 151924	0	0	0	1	hist	lossguide	256	0	1	0.010083461969564	0.998646555529991	7	542	0.00841405262780907	71	11947000	53
20220530 151959	0	0	0	1	hist	lossguide	256	0	1	0.150786920731104	0.983106922624828	5	2	0.016403505083861	145	12793000	54
20220530 152021	0	0	0	1	hist	lossguide	256	0	1	0.299567506477953	0.201280188978707	9	3	0.0211585792868136	70	12317000	55
20220530 152335	0	0	0	1	hist	lossguide	256	0	1	0.0115525439707675	0.552455968331718	9	1024	0.0156072120237926	259	13577000	56
20220530 152658	0	0	0	1	hist	lossguide	256	0	1	0.0100192461462119	0.624028705094554	8	1023	0.0140702456798038	214	13417000	57
20220530 153102	0	0	0	1	hist	lossguide	256	0	1	0.0100031134033426	0.52151324835972	9	1019	0.0145842300244044	408	13634000	58
20220530 153133	0	0	0	1	hist	lossguide	256	0	1	0.282151410036004	0.200716686027353	10	393	0.0169220513671848	14	10971000	59
20220530 153439	0	0	0	1	hist	lossguide	256	0	1	0.0110536070281522	0.432881780974466	9	1024	0.0163334592510191	230	12941000	60
20220530 153758	0	0	0	1	hist	lossguide	256	0	1	0.0102655124954211	0.568996088643004	9	854	0.0137023748535138	193	13772000	61
20220530 153837	0	0	0	1	hist	lossguide	256	0	1	0.162431504318099	0.200195893812479	10	2	0.0201281683436658	235	13219000	62
20220530 154148	0	0	0	1	hist	lossguide	256	0	1	0.0101229787608042	0.56666607292903	9	624	0.0133625206558657	174	13495000	63
20220530 154415	0	0	0	1	hist	lossguide	256	0	1	0.0105251255162653	0.568925333996279	10	27	0.00835757327599871	65	12148000	64
20220530 154727	0	0	0	1	hist	lossguide	256	0	1	0.0102718531967875	0.591268835928459	9	939	0.0139789871284488	195	13493000	65
20220530 155100	0	0	0	1	hist	lossguide	256	0	1	0.0101626663785842	0.534354484440316	8	808	0.0141019056210654	234	13301000	66
20220530 155432	0	0	0	1	hist	lossguide	256	0	1	0.0100755509534831	0.752651077126165	9	823	0.0127133976602767	213	13621000	67
20220530 155803	0	0	0	1	hist	lossguide	256	0	1	0.0100419027568388	0.565184196907634	10	798	0.0138268351117971	240	13572000	68
20220530 160220	0	0	0	1	hist	lossguide	256	0	1	0.0107159091970789	0.200047257422472	10	1024	0.0209873461720574	524	12773000	69
