experimento	fecha	lambda_l1	lambda_l2	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	min_gain_to_split	bagging_fraction	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT8310b2	20220607 172649	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.109538512316067	0.791802950167524	96	18	7.3311537632253	0.96565953438015	44	0.0261607445811174	-1	171435000	19
HT8310b2	20220607 172810	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.2598880919915	0.409349086258832	484	12	14.1733436032276	0.427981739336004	35	0.0280788277784301	-1	169528000	20
HT8310b2	20220607 172912	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.282710506906733	0.222251672605247	152	7	4.71777020914791	0.238576195528731	25	0.0209144534788543	-1	169312000	21
HT8310b2	20220607 173025	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0307816006122933	0.641249827065622	39	3	16.3335842953529	0.883668327797204	175	0.032280471464743	-1	170303000	22
HT8310b2	20220607 173129	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.179231716883757	0.185650095846116	23	19	16.8431298537568	0.540044783630098	48	0.0290656396881619	-1	169515000	23
HT8310b2	20220607 173315	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.120802779913647	0.566703414012833	385	5	1.91867167750994	0.682916779350489	53	0.0170238593889494	-1	172521000	24
HT8310b2	20220607 173641	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0493482175010619	0.434193932413033	151	5	1.17427288678095	0.594283126747423	178	0.0215145843611995	-1	174095000	25
HT8310b2	20220607 175205	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0351835918416606	0.530867533708882	219	5	0.00248418002296734	0.464222430750258	962	0.000388742796421536	-1	177329000	26
HT8310b2	20220607 181544	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0203345335896464	0.771557900504243	236	12	0.0017729009443716	0.323181282851461	1797	0.000178190802021594	-1	177659000	27
HT8310b2	20220607 183125	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020448654226853	0.704721446835489	316	6	0.00213156362325616	0.309989206969913	1647	0.000127712814097338	-1	177054000	28
HT8310b2	20220607 184456	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0247558683086219	0.637341629853126	178	15	0.00041354742498468	0.446568150359471	1636	0.000521993137824623	-1	177156000	29
HT8310b2	20220607 185613	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0260996977412584	0.762229036384589	227	8	0.00627552659943146	0.388856733779539	1352	0.000235817109023869	-1	176939000	30
HT8310b2	20220607 191144	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0224064302974843	0.502362054174479	219	15	0.00793988673056883	0.320336570495141	1432	0.000617434495490536	-1	177001000	31
HT8310b2	20220607 192431	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0204468247474485	0.601333991952544	251	11	0.021142095760746	0.269288702526116	1220	0.000986960850511417	-1	176344000	32
HT8310b2	20220607 193717	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0201176255778807	0.52819992951337	309	12	0.0417255140281787	0.462112289707328	1076	0.00110400731989691	-1	176483000	33
HT8310b2	20220607 194807	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0203273974010993	0.7981151803186	112	9	0.0615345896878371	0.327792109006561	1637	0.00330159163913021	-1	176328000	34
HT8310b2	20220607 195404	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0383960055431831	0.795578875092106	260	18	0.0218147914545925	0.326110184134342	578	0.000965627716974503	-1	176676000	35
HT8310b2	20220607 201127	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0203427437150323	0.598063264468704	205	1	0.00603819545228656	0.458306058906287	1739	0.000433767384549103	-1	177160000	36
HT8310b2	20220607 202415	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.022525943399147	0.130238801539662	185	7	0.00442535096111176	0.448790416004381	2581	0.000227526960607904	-1	177057000	37
HT8310b2	20220607 203207	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0201562343595363	0.689011198710367	237	2	0.0921158464434476	0.324720335669524	975	0.00239402289505145	-1	175841000	38
HT8310b2	20220607 204447	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200860877151896	0.670901108977206	184	7	0.016887014784856	0.452246041629789	1728	0.000645300991513721	-1	176731000	39
HT8310b2	20220607 205508	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0326833345639688	0.259428389059786	283	2	0.00189456591526036	0.454361556563147	1293	0.000119809322301972	-1	177329000	40
HT8310b2	20220607 210408	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0287003160000376	0.63575615080548	327	12	0.00853008091042479	0.341439664581243	873	0.000414316475052619	-1	177128000	41
HT8310b2	20220607 211154	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0201733876611179	0.774688819703594	217	14	0.097862889127813	0.352861000995804	999	0.00276066482469928	-1	175863000	42
HT8310b2	20220607 211931	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0327951519721924	0.735728141363992	312	11	0.0140734380549454	0.314523023738572	846	0.000457957912966954	-1	176463000	43
HT8310b2	20220607 213003	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0390157101927098	0.281430714755101	106	1	0.00192009333888994	0.529624304362011	1521	0.00105083140377279	-1	176565000	44
HT8310b2	20220607 213931	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0475129349137644	0.282723503541227	197	2	0.000508546386207858	0.473273259096149	1162	0.000122137301250391	-1	177492000	45
HT8310b2	20220607 214629	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0247394898490703	0.30033056150911	274	9	0.108152445094941	0.405784865986093	781	0.00310676976092272	-1	175792000	46
HT8310b2	20220607 215701	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0424747730373084	0.243784781820101	110	3	0.000207366203883969	0.420716867970254	1648	0.000607465658969467	-1	177308000	47
HT8310b2	20220607 220419	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0480410994944238	0.252435819307082	147	19	0.000777761587507429	0.449289377299871	951	0.000869629869129195	-1	176484000	48
HT8310b2	20220607 221012	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0637595308768267	0.405339621887282	95	3	0.00153749135246471	0.446640460726803	621	0.00414772813449456	-1	175783000	49
HT8310b2	20220607 221843	0	0	1	1	15	31	131707	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0399964752005778	0.156816939316208	66	0	0.00527238979757491	0.465669451567182	1755	0.00297963746067964	-1	175189000	50
