fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220530 191814	0	0	0	1	auto	depthwise	256	0	1	0.299505622913809	0.772669860172302	10	2	0.0288110263661481	125	10761000	109
20220530 194149	0	0	0	1	auto	depthwise	256	0	1	0.010002116687238	0.999730843851364	10	2	0.0368626258614149	1202	10715000	110
20220530 195948	0	0	0	1	auto	depthwise	256	0	1	0.0102393479112212	0.471105948466004	6	7	0.0160159041722937	276	13208000	111
20220530 200106	0	0	0	1	auto	depthwise	256	0	1	0.174425782268984	0.373414607924016	0	2	0.0116031086224681	85	12295000	112
20220530 210541	0	0	0	1	auto	depthwise	256	0	1	0.01067258406556	0.997524251607843	3	30	0.012429538538226	82	12427000	113
20220530 212303	0	0	0	1	auto	depthwise	256	0	1	0.0102010905957322	0.213050611626018	10	17	0.016399718387341	417	13271000	114
20220530 213527	0	0	0	1	auto	depthwise	256	0	1	0.0104893959757245	0.553353811660658	0	2	0.0148542349772531	842	12916000	115
20220530 215858	0	0	0	1	auto	depthwise	256	0	1	0.0101424810770475	0.216815308474546	10	30	0.0185786872391994	647	13156000	116
20220530 222649	0	0	0	1	auto	depthwise	256	0	1	0.0106954430004099	0.594315228352954	10	29	0.0101972537033953	113	12963000	117
20220530 225335	0	0	0	1	auto	depthwise	256	0	1	0.010199783643621	0.495050739180939	3	13	0.0127060866449549	149	13211000	118
20220530 233248	0	0	0	1	auto	depthwise	256	0	1	0.0102119700501024	0.455855842093716	0	30	0.00914398139514092	106	3475000	119
20220531 000740	0	0	0	1	auto	depthwise	256	0	1	0.0102211513577424	0.99853682583768	4	5	0.0149087498127369	559	13133000	120
20220531 005521	0	0	0	1	auto	depthwise	256	0	1	0.0143922533717765	0.995140738969501	6	30	0.0148481258121486	119	12520000	121
20220531 011856	0	0	0	1	auto	depthwise	256	0	1	0.0100097421932178	0.288142632240828	10	13	0.0202020802120545	582	12705000	122
20220531 013627	0	0	0	1	auto	depthwise	256	0	1	0.0102442108011404	0.481659292892579	3	5	0.0147661514243437	453	13731000	123
20220531 013753	0	0	0	1	auto	depthwise	256	0	1	0.165164304963493	0.254911181249519	10	6	0.0102737399779894	21	12159000	124
20220531 015037	0	0	0	1	auto	depthwise	256	0	1	0.0113201859712544	0.515786520470935	3	5	0.0124742054914308	194	13453000	125
20220531 015546	0	0	0	1	auto	depthwise	256	0	1	0.165772769777283	0.999894169043033	1	5	0.0123419162965685	74	11436000	126
